Vg,Id,phi_surface,Polarization,E_fe,direction,converged
2.2000000000000046,1e-12,0.0,37.986591712254494,44040652.910378896,reverse,False
2.100000000000005,1e-12,0.0,37.9848808619719,42038805.05081622,reverse,False
2.0000000000000044,1e-12,0.0,37.98295176219723,40036957.19125355,reverse,False
1.900000000000004,1e-12,0.0,37.98077658460714,38035109.33169086,reverse,False
1.8000000000000043,1e-12,0.0,37.978323956182926,36033261.4721282,reverse,False
1.7000000000000046,1e-12,0.0,37.975558508676606,34031413.61256553,reverse,False
1.600000000000004,1e-12,0.0,37.97244037107963,32029565.75300285,reverse,False
1.5000000000000036,1e-12,0.0,37.96892459795591,30027717.893440165,reverse,False
1.400000000000004,1e-12,0.0,37.96496052562626,28025870.033877496,reverse,False
1.3000000000000043,1e-12,0.0,37.960491047215534,26024022.174314834,reverse,False
